_id,id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,coverage,userCount,alphaCount,pyramidMultiplier,_created_at
682f5a80e22eb516c3b6bcad,anl44_2_bps_coveredby,bps coveredby,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.7974,25,34,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6bcae,anl44_2_bps_lastactccy,bps lastactccy,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.7973,6,7,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6bcaf,anl44_2_bps_lastactvalue,bps lastactvalue,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.7117,2,2,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6bcb0,anl44_2_bps_prevalue,bps prevalue,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.7702,6,9,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6bcb1,anl44_2_bps_value,bps value,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.7971,11,11,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6bcb2,anl44_2_capex_coveredby,capex coveredby,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.7545,6,8,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6bcb3,anl44_2_capex_lastactccy,capex lastactccy,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.7544,5,8,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6bcb4,anl44_2_capex_lastactvalue,capex lastactvalue,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.6664,2,2,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6bcb5,anl44_2_capex_prevalue,capex prevalue,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.7173,4,7,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6bcb6,anl44_2_capex_value,capex value,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.7511,6,8,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6bcb7,anl44_2_cfps_coveredby,cfps coveredby,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.6378,7,35,1.2,2025-05-23T01:10:24.205Z
